id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx9MCup7J_U7fTgxoJ4AaABAg	8	14	2018-02-15 03:09:37	leonel mora	USA the country of guns	UCru4szYtFqPcOoM_evYveRg	http://www.youtube.com/channel/UCru4szYtFqPcOoM_evYveRg	0		
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cglMmEm51R		0	2018-02-15 16:42:59	Dexter C	leonel mora are you saying spoons is linked to obesity? Guns? Gun dont have behaviours. Blame guns but leave the criminal alone right?	UCMVBcexolwfGTlsVYDoOQSA	http://www.youtube.com/channel/UCMVBcexolwfGTlsVYDoOQSA	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cgZ3htEtjo		0	2018-02-15 14:46:47	Royce	Why does the U.S. have the highest prison population in the world?	UCnVz2uTGnjW3AUemOPFzAIw	http://www.youtube.com/channel/UCnVz2uTGnjW3AUemOPFzAIw	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cgYxBXiyR1		0	2018-02-15 14:45:45	Royce	" USA the country of mental unstable faggots "....with guns and what makes them faggots is low masculinity that cannot be used in a fist fight lol	UCnVz2uTGnjW3AUemOPFzAIw	http://www.youtube.com/channel/UCnVz2uTGnjW3AUemOPFzAIw	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cgQrwsD2KW		0	2018-02-15 13:35:08	SimplebutAwesome	leonel mora You the person of insensitivity	UCf-kIu-kE9vMpdb4ClCf4SQ	http://www.youtube.com/channel/UCf-kIu-kE9vMpdb4ClCf4SQ	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cfU2wfbONF		1	2018-02-15 04:43:45	Luiz Inacio Lula da Silva	Elijah Decker Example: Brazil 26 homicides 100k abs. Mexico and others	UC6LultouXlrzoBQUGAad8Xg	http://www.youtube.com/channel/UC6LultouXlrzoBQUGAad8Xg	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cfRh2vHDU8		5	2018-02-15 04:23:08	Elijah Decker	Plenty of other countries restrict or outright prohibit their citizens from owning guns and have way more violence than the USA.	UCyYTEIo4uiOjTRGVxtBqxmQ	http://www.youtube.com/channel/UCyYTEIo4uiOjTRGVxtBqxmQ	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cfObUaBg_u		3	2018-02-15 03:56:10	dave parga	yes all the other countries are jealous of us.	UCaEakKBHeJUDWLhpS3lipMQ	http://www.youtube.com/channel/UCaEakKBHeJUDWLhpS3lipMQ	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
Ugx9MCup7J_U7fTgxoJ4AaABAg.8cfJHYHHJaF8cfNly-7ll9		5	2018-02-15 03:48:52	Niqht	leonel mora USA the country of mental unstable faggots.	UCo9jBxNCeBBKfiUr6xJc0uA	http://www.youtube.com/channel/UCo9jBxNCeBBKfiUr6xJc0uA	1	Ugx9MCup7J_U7fTgxoJ4AaABAg	leonel mora
UgxSMVEAUzm9fWRR9nN4AaABAg	12	10	2018-02-15 03:09:30	NightmareWolf1	I&#39;ve would&#39;ve fucked the shooter up	UCR9vaNNUsdoq0UWc9mu4tsQ	http://www.youtube.com/channel/UCR9vaNNUsdoq0UWc9mu4tsQ	0		
